Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Жук,Ілля,,Чоловік,1976-11-01,Сантехнік,село Бучач,"узвіз Дальній, буд. 61, Баранівка, 78399",274-69-71,rubanvitalii@example.net
Архипенко,Гордій,,Чоловік,1951-11-27,Літературознавець,селище Олександрівськ,"вулиця Миколаївська дорога, буд. 870 кв. 71, Міусинськ, 81086",214-89-35,roksolana36@example.com
Влох,Святослав,,Чоловік,1963-07-30,Льотчик,село Каховка,"шосе Тюльпанний, буд. 5 кв. 65, Кобеляки, 95519",085 719 23 24,yvernydub@example.com
Макогон,Леопольд,,Чоловік,1985-10-10,Круп'є,селище Хрестівка,"площа Дачний 1-й, буд. 26 кв. 11, Єнакієве, 80268",+380 28 952 01 26,zandreiko@example.net
Сич,Гордій,,Чоловік,2007-02-05,Клавішник,хутір Почаїв,"шосе Проектна 1-ша, буд. 55 кв. 522, Нове Давидково, 44366",+380 54 283-71-92,erikababarychenko@example.org
Ткаченко,Симон,,Чоловік,1960-11-08,Фрілансер,село Волноваха,"набережна Планетна, буд. 208, Шумськ, 46696",+380 72 544-64-69,maksym71@example.net
Дубас,Болеслав,,Чоловік,1962-01-13,Філолог,місто Сіверськ,"вулиця Державіна, буд. 870, Красноперекопськ, 86163",022 263 80 75,marko66@example.net
Носаченко,Тарас,,Чоловік,1980-09-09,Астроном,селище Тростянець,"узвіз Приморський, буд. 91, Скадовськ, 99058",+380 (42) 996-62-19,vladyslavbevzenko@example.org
Михалюк,Андрій,,Чоловік,1960-08-25,Ріелтор,місто Жовті Води,"проспект Красний, буд. 24, Лисичанськ, 28482",019 057-66-26,shukhevycheduard@example.org
Дробʼязко,Августин,,Чоловік,1963-04-25,Будник,селище Запоріжжя,"площа Східчастий 4-й, буд. 02, Калинівка , 13550",+380 (08) 451-27-36,mykhailynafesenko@example.net
Охримович,Борислав,,Чоловік,1991-03-04,Мінералог,селище Кам'янка (Черкаська область),"парк Садова 4-та, буд. 061 кв. 40, Кальміуське, 01257",+380 23 982-71-81,danylotryhub@example.com
Кабаненко,Григорій,,Чоловік,2002-06-13,Локсмайстер,село Голубівка,"площа Новощіпний ряд, буд. 9 кв. 45, Хорол , 75802",+380 07 382-36-52,zabarnyileonid@example.org
Щербань,Богуслав,,Чоловік,1971-03-22,Слідчий,село Чуднів,"узвіз Аркадійська, буд. 335 кв. 553, Шумськ, 96719",+380 89 007 42 36,iustymbabychenko@example.com
Іваничук,Антон,,Чоловік,1986-03-12,Актор,місто Вознесенівка,"проспект Мирна, буд. 2 кв. 7, Іршава, 74425",+380 (16) 635-76-05,zynovii35@example.net
Александренко,Костянтин,,Чоловік,1941-08-10,Кур'єр,село Яворів,"узвіз Лермонтовський 2-й, буд. 470, Старий Самбір, 71909",142 12 35,dkorsun@example.com
Бабійчук,Леопольд,,Чоловік,1982-07-25,Патологоанатом,хутір Бровари,"сквер Петрашевського, буд. 23 кв. 94, Глобине, 22218",+380 (44) 832-18-83,oleksaandreiko@example.com
Дахно,Орест,,Чоловік,1944-12-17,Патологоанатом,місто Мукачево,"набережна Абрикосовий, буд. 872 кв. 94, Жидачів, 67486",+380 (29) 589-34-65,iukhymmoskal@example.com
Комар,Захар,,Чоловік,1986-08-16,Геофізик,місто Очаків,"узвіз Олександра Невського 5-й, буд. 42 кв. 437, Ямпіль, 63785",+380 82 912-55-95,svitlanataran@example.net
Туркало,Богуслав,,Чоловік,1958-12-11,Клоун,селище Буськ,"шосе Павлова, буд. 051, Довжанськ, 78878",079 117 52 50,myronartymovych@example.net
Аврамчук,Сергій,,Чоловік,1970-09-18,Флорист,село Авдіївка,"площа Шостої 1-й, буд. 88 кв. 26, Золочів, 77650",402-76-08,anton97@example.org
Байрак,Артем,,Чоловік,1939-12-23,Клоун,місто Львів,"проспект Бітумна, буд. 8 кв. 5, Богодухів, 94574",097 909 39 95,kovpakanton@example.com
Редько,Венедикт,,Чоловік,1988-02-08,Петрограф,селище Соледар,"вулиця Ломоносова, буд. 23 кв. 43, Сватове, 87886",433 61 22,dchuiko@example.com
Байда,Стефан,,Чоловік,1998-02-20,Правник,хутір Красногорівка,"набережна Усатівська, буд. 1 кв. 594, П'ятихатки, 20167",393 05 35,mykolai28@example.com
Лукаш,Остап,,Чоловік,1970-07-28,Фармацевт,селище Добромиль,"парк Біляївська, буд. 5 кв. 53, Сторожинець, 96191",007 814-19-97,bohuslavababiichuk@example.com
Вітер,Святослав,,Чоловік,1991-04-20,Ботанік,село Винники,"шосе Васнецова, буд. 588 кв. 008, Ромни, 41949",+380 80 590-57-04,alla05@example.org
Андрощук,Данило,,Чоловік,1998-05-08,Мистецтвознавець,місто Христинівка,"провулок Васнецова, буд. 44, Козятин, 01446",+380 (91) 790-92-16,tetianadanchenko@example.net
Данько,Ростислав,,Чоловік,1972-09-07,Продюсер,селище Прилуки,"узвіз Колективний, буд. 0, Тальне, 61721",564 71 10,aarontalan@example.org
Даценко,Веніямин,,Чоловік,1950-04-16,Астрофізик,селище Перемишляни,"вулиця Буніна, буд. 7, Сватове, 32420",392-22-00,sviatoslavatsarenko@example.com
Андріїшина,Трохим,,Чоловік,1941-12-11,Ветеринар,селище Макіївка,"сквер Басейний 1-й, буд. 9 кв. 86, Звенигородка, 25834",027 572-42-13,jzakharenko@example.org
Данчук,Аарон,,Чоловік,1989-07-10,Диригент,хутір Хрустальний,"проспект Маразліївська, буд. 126 кв. 750, Жидачів, 03731",131-09-13,hermansirchenko@example.net
Малик,Симон,,Чоловік,1967-06-12,Електромонтер,місто Нікополь,"набережна 2-га Лінія Марії Демченко, буд. 02, Богодухів, 61303",493-77-72,khomenkoruslan@example.net
Дахно,Андрій,,Чоловік,1942-01-22,Електромонтажник,село Ізяслав,"шосе 2-га Суворовська, буд. 42, Новоазовськ, 67004",+380 (28) 157-54-02,okhrim12@example.org
Москаль,Володимир,,Чоловік,1963-09-06,Дантист,селище Бобринець,"площа Державіна, буд. 9, Буськ, 09984",+380 50 637-12-18,zdziuba@example.com
Проценко,Пилип,,Чоловік,1994-10-23,Ветеринар,місто Василівка ,"набережна Мечникова, буд. 09 кв. 177, Підгайці, 93832",+380 (00) 354-40-59,solomiia03@example.net
Єрьоменко,Болеслав,,Чоловік,1945-08-30,Бухгалтер,селище Берестечко,"проспект Дунаєвського 1-й, буд. 938, Авдіївка, 50421",074 878-93-89,drozdenkovladyslav@example.net
Перебийніс,Кирило,,Чоловік,1995-09-04,Мовознавець,село Іршава,"провулок Лінійний, буд. 2, Привілля, 05993",210-08-03,teslenkoolena@example.com
Дейнека,Микита,,Чоловік,1951-03-16,Гицель,місто Болград,"парк Латвійський узвіз, буд. 9 кв. 581, Винники, 19111",+380 51 440-15-78,kybkaloazar@example.org
Башполченко,Хома,,Чоловік,1963-01-04,Стропальник,село Волочиськ,"вулиця Флотський 4-й, буд. 8 кв. 698, Герца, 47201",+380 34 095-88-73,mykolaiatroshchenko@example.com
Оберемко,Арсен,,Чоловік,1957-09-13,Шериф,село Антрацит ,"площа Псковський, буд. 4, Світловодськ, 03303",076 964 10 15,mykolaizaruba@example.com
Балабан,Леопольд,,Чоловік,1975-08-29,Професор,селище Волноваха,"парк Круговий, буд. 145, Яремче, 49813",+380 (19) 848-70-45,ieva86@example.net
Баран,Станіслав,,Чоловік,1961-05-09,Соціолог,селище Єнакієве,"проспект Чорноморський 9-й, буд. 26 кв. 423, Костопіль, 67784",729 62 56,iosyp35@example.net
Проценко,Вадим,,Чоловік,1939-05-31,Кухар,хутір Балта,"проспект Квітнева, буд. 16, Вознесенівка, 36461",+380 81 767-33-43,cbandera@example.net
Башполченко,Станіслав,,Чоловік,1958-12-28,Клоун,село Ватутіне,"проспект Авіаторів, буд. 643 кв. 970, Золотоноша, 57875",+380 59 717 36 29,frankodemyd@example.com
Романець,Лесь,,Чоловік,1971-07-28,Медик,хутір Вінниця,"узвіз Палубний, буд. 0, Шумськ, 10158",+380 77 747-59-99,liubovtereshchuk@example.org
Байдак,Панас,,Чоловік,1955-05-11,Публіцист,село Дунаївці,"площа Ключовий 2-й, буд. 737, Старобільськ, 37648",+380 20 006 23 84,shmorhuntymofii@example.com
Забашта,Максим,,Чоловік,1953-10-01,Ґрунтознавець,місто Бобровиця,"сквер Західний 1-й, буд. 1 кв. 74, Баранівка, 82318",059 524-91-85,myroslavriaboshapka@example.com
Чекалюк,Руслан,,Чоловік,1975-10-14,Паблік рилейшнз,хутір Новоселиця,"узвіз Іспанський, буд. 51 кв. 4, Бобринець, 33147",042 601 70 94,bohodarzhuchenko@example.org
Шамрай,Ярема,,Чоловік,2005-01-30,Пілот,хутір Хирів,"парк Східний, буд. 36, Славута, 37775",095 189-49-74,avdieienkoboryslav@example.net
Жарко,Єлисей,,Чоловік,1962-12-15,Дизайнер,хутір Галич,"парк Промисловий, буд. 1, Ніжин, 24120",099 050 68 90,qzatula@example.net
Лемешко,Демʼян,,Чоловік,1960-06-02,Електромонтер,селище Мирноград,"набережна Сергія Ядова, буд. 604 кв. 9, Звенигородка, 04569",+380 (72) 591-80-16,ovsiienkorostyslav@example.com
Смик,Омелян,,Чоловік,1969-08-12,Інженер,село Берестечко,"проспект Педагогічний, буд. 5 кв. 8, Судак , 39726",+380 24 582-39-10,ftarasenko@example.com
Александренко,Данило,,Чоловік,1957-12-18,Астронавт,селище Сокиряни,"провулок Лінія 42-га, буд. 57, Шпола, 99462",008 65 02,rostyslavradchenko@example.org
Зінченко,Дан,,Чоловік,1987-11-11,Пекар,селище Кременець,"шосе Бучми, буд. 8 кв. 37, Середина-Буда, 63500",+380 03 079 99 36,virazhalilo@example.net
Худяк,Стефан,,Чоловік,1939-04-05,Прокурор,село Охтирка,"сквер 15-та ст. Великого Фонтану пляж, буд. 5 кв. 845, Макіївка, 87233",541 39 24,iaroslava08@example.com
Гунько,Максим,,Чоловік,1991-05-11,Лікар,місто Перечин,"провулок Амундсена, 2-й, буд. 1, Кам'янське, 06576",+380 43 787-59-45,andriishynalla@example.org
Редько,Тимофій,,Чоловік,1980-06-14,Громадський діяч,хутір Новий Буг,"набережна Авіаційна, буд. 589, Синельникове, 45722",+380 (74) 462-27-45,alevtyn64@example.org
Корж,Франц,,Чоловік,1978-04-22,Доцент,село Виноградів,"площа Байкал тупик, буд. 360 кв. 2, Ічня, 96487",752-78-40,lesizhakevych@example.net
Шамрай,Герман,,Чоловік,1980-06-13,Ботанік,селище Борзна,"набережна 13-та ст. Великого Фонтану пляж, буд. 38 кв. 0, Снятин, 63889",020 862 73 17,stepanfesenko@example.org
Акименко,Ярема,,Чоловік,1953-11-12,Археолог,село Саки ,"парк Заводська 1-ша, буд. 0 кв. 9, Селидове, 77444",+380 46 920 60 55,taranielysei@example.com
Ґерета,Ігор,,Чоловік,2007-10-22,Клавішник,хутір Армянськ,"сквер Вишневий, буд. 062 кв. 731, Хотин, 69296",+380 76 605-37-20,haidaburaorkhyp@example.com
Парасюк,Венедикт,,Чоловік,1950-10-30,Мистецтвознавець,село Лисичанськ,"парк Маковий, буд. 65, Нова Одеса, 44091",605-49-87,qbabko@example.org
Макогон,Тимофій,,Чоловік,1977-09-26,Круп'є,хутір Путивль,"проспект Китобійна, буд. 838, Молочанськ, 97752",+380 (35) 321-55-41,boryslavnalyvaiko@example.org
Артюшенко,Іван,,Чоловік,1949-12-26,Слідчий,місто Угнів,"парк Колонічна, буд. 80, Острог, 45880",+380 60 310-37-99,bohuslavateslenko@example.org
Ейбоженко,Орхип,,Чоловік,1952-12-27,Конструктор,місто Яготин,"площа 3-тя Лінія Марії Демченко, буд. 84 кв. 8, Географія Вільнянська, 46001",011 098-16-34,allahrytsenko@example.net
Ісаєвич,Стефан,,Чоловік,1999-07-27,Живописець,село Рахів,"вулиця Олександра Матросова, буд. 2 кв. 3, Дніпрорудне, 07367",723 47 00,iryna84@example.com
Короленко,Едуард,,Чоловік,1942-02-17,Швачка,село Тальне,"площа Кримський, буд. 88 кв. 4, Березівка, 35747",+380 09 291 97 07,albina44@example.net
Демʼяненко,Нестор,,Чоловік,1995-10-24,Геолог,хутір Гнівань,"проспект Орликова, буд. 24, Донецьк, 75313",253 77 12,mykhailobabiuk@example.com
Ярош,Дмитро,,Чоловік,1967-11-27,Детектив,місто Тернівка ,"шосе Ванцетті, буд. 35 кв. 55, Керч, 41711",+380 (08) 096-68-75,pvasylechko@example.net
Сірченко,Демʼян,,Чоловік,1994-03-18,Доцент,селище Привілля,"вулиця Рибальська балка, буд. 20, Кам'янське, 78773",220-85-86,andrii07@example.com
Даценко,Антон,,Чоловік,1999-08-02,Кіноактор,селище Миргород,"набережна 15-та Суворовська, буд. 7 кв. 160, Ладижин, 66439",902-48-97,demydenkovalentyna@example.org
Габелко,Артем,,Чоловік,1997-08-03,Дантист,селище Новий Розділ,"проспект Восьмого Березня Лінія 2-га, буд. 132, Радивилів, 27203",+380 (00) 214-57-03,iaremkookseniia@example.net
Макогон,Кирило,,Чоловік,1989-11-18,Перекладач,село Євпаторія,"парк Ф. Пішеніна, буд. 06 кв. 5, Камінь-Каширський, 79293",+380 (09) 840-38-51,liubov43@example.net
Аверченко,Єлисей,,Чоловік,1963-08-11,Антрополог,селище Куп'янськ,"шосе Михайлівська, буд. 3 кв. 1, Шахтарськ, 96130",220 88 24,huzsemen@example.org
Засядько,Хома,,Чоловік,1977-07-04,Соціолог,місто Полонне,"парк Восьмого березня 1-й, буд. 643, Макіївка, 45056",875 76 75,feofandrozdenko@example.com
Ващенко-Захарченко,Устим,,Чоловік,1962-11-29,Музикознавець,хутір Перещепине,"вулиця 15-та Лінія 6-й ст. Люстдорфської дороги, буд. 0, Верхньодніпровськ, 05930",+380 53 648 35 80,tetiana46@example.org
Шеремета,Зорян,,Чоловік,2001-02-28,Стропальник,селище Каховка,"сквер Чорноморський 8-й, буд. 1, Костопіль, 27574",058 541 37 57,bohdan58@example.org
Архипенко,Опанас,,Чоловік,1960-02-15,Антрополог,селище Очаків,"площа Амбулаторний 1-й, буд. 3, Ужгород, 64398",078 666 30 46,hryhoriitokar@example.com
Вітрук,Петро,,Чоловік,1966-12-24,Кінокритик,село Миколаїв,"шосе Єрмака, буд. 579 кв. 596, Ічня, 97800",+380 58 439-32-93,ivanlutsenko@example.net
Артюх,Мирослав,,Чоловік,1943-01-12,Публіцист,хутір Дніпро ,"парк Зоряна, буд. 8, Попасна, 58171",+380 76 650-31-77,solomiia14@example.net
Козак,Святослав,,Чоловік,2003-04-22,Музичний редактор,хутір Корець,"шосе Капітана Гаврікова, буд. 3, Білогірськ, 84650",+380 (73) 848-40-88,qrak@example.net
Єрченко,Федір,,Чоловік,1957-10-22,Дантист,село Луцьк,"шосе Чубаївська, буд. 57 кв. 89, Оріхів, 47791",+380 69 794-01-05,zynovii80@example.net
Ткач,Данило,,Чоловік,1958-03-09,Пілот,село Ланівці,"площа Нафтовиків, буд. 8 кв. 0, Вознесенівка, 07751",+380 23 580 22 42,knazarenko@example.org
Їжакевич,Роман,,Чоловік,1998-09-21,Бібліограф,місто Волочиськ,"шосе Єнісейська, буд. 7, Белз, 47680",+380 29 687-59-04,vadym50@example.com
Удовенко,Арсен,,Чоловік,1954-02-10,Етнограф,хутір Вільнянськ,"узвіз Бісквітний, буд. 29 кв. 1, Рівне, 95108",+380 34 346-40-04,yzatula@example.org
Шелест,Федір,,Чоловік,1958-05-26,Драматург,хутір Борзна,"провулок Раїси Сергієнко, буд. 39 кв. 654, Старий Крим, 38267",+380 67 482 59 50,kanivetshanna@example.org
Масоха,Хома,,Чоловік,1957-05-20,Модель,місто Помічна,"набережна Сортувальна 2-га, буд. 8 кв. 17, Мар'їнка, 16976",031 403-52-10,evashchenko-zakharchenko@example.net
Бакуменко,Адам,,Чоловік,1980-11-27,Гицель,хутір Помічна,"сквер Кавказька, буд. 6 кв. 2, Червоноград, 57428",+380 43 065 00 01,utalan@example.net
Устенко,Зорян,,Чоловік,1960-09-16,Диригент,село Гайсин,"набережна Проектний 5-й, буд. 796 кв. 56, Чорноморськ, 59349",+380 (16) 688-91-57,sviatoslaviushchenko@example.org
Макаренко,Ігор,,Чоловік,2006-10-31,Палеонтолог,хутір Ірпінь,"вулиця Спортивна, буд. 08 кв. 1, Комарно, 34251",006 354-95-63,klavdiiarak@example.com
Ярош,Амвросій,,Чоловік,1970-09-24,Редактор,хутір Вишневе ,"проспект Іспанська, буд. 70, Бровари, 22114",+380 13 377 30 38,izhakpylyp@example.org
Дейнека,Роман,,Чоловік,1955-06-02,Бухгалтер,село Горішні Плавні,"набережна Юннатів 2-й, буд. 1 кв. 77, Інкерман, 82334",+380 47 410-10-46,danylenkookseniia@example.net
Вітер,Борислав,,Чоловік,1979-11-20,Підприємець,село Київ,"провулок Парашутний, буд. 6 кв. 61, Мостиська, 73862",052 930 23 42,zynovii25@example.net
Якименко,Данило,,Чоловік,1941-01-07,Педагог,селище Гола Пристань,"провулок Строганова, буд. 907 кв. 9, Черкаси, 87578",144 52 94,oleksaandriienko@example.com
Ґерус,Тарас,,Чоловік,1942-10-05,Співак,село Часів Яр,"провулок Пугачова, буд. 527, Хрестівка, 82658",052 153-30-10,symon48@example.net
Таран,Орест,,Чоловік,1949-12-12,Музикант,селище Шепетівка,"парк Східчастий, буд. 6 кв. 68, Харцизьк, 19720",665-56-87,hordii04@example.org
Жайворон,Опанас,,Чоловік,1956-09-01,Клоун,місто Бурштин ,"набережна Уютна, буд. 3, Сватове, 45553",+380 (46) 597-20-88,maksym43@example.com
Чайка,Валерій,,Чоловік,1938-09-22,Бухгалтер,селище Тисмениця,"парк Слобідський узвіз, буд. 98, Біла Церква, 39427",+380 26 748 20 97,mariia58@example.com
Приймак,Павло,,Чоловік,1955-04-16,Круп'є,місто Слов'янськ,"проспект Лінія 43-тя, буд. 783 кв. 48, Снятин, 96583",+380 16 830-81-68,lemeshkoiarema@example.net
Демʼяненко,Григорій,,Чоловік,1944-02-17,Історик,хутір Судак ,"площа Кавунова, буд. 5 кв. 79, Борщів, 78757",+380 09 859-87-80,hshchors@example.org
Масоха,Омелян,,Чоловік,1967-01-04,Клавішник,хутір Липовець,"провулок Херсонський, буд. 1, Рахів, 79274",+380 44 595-71-36,avreliiaverchenko@example.org
Пилипенко,Борислав,,Чоловік,1990-10-23,Кінорежисер,село Генічеськ,"провулок Розумовський 1-й, буд. 35 кв. 9, Тернопіль, 50815",022 655 08 99,kamillazaiets@example.com
Жарко,Орхип,,Чоловік,2005-08-03,Випробувач,село Кам'янка-Бузька,"шосе Сьома, буд. 965 кв. 338, Косів, 48077",+380 (63) 233-02-71,romanenkoheorhii@example.net
Базавлученко,Станіслав,,Чоловік,1991-12-11,Фізик,село Зоринськ,"сквер Терещенка Володимира, буд. 2 кв. 824, Іловайськ, 14378",+380 80 116-73-66,deriazhnaoles@example.net
Радченко,Назар,,Чоловік,1988-09-11,Ґрунтознавець,місто Роздільна,"проспект Водопровідний 1-й, буд. 4, Федорівка, 91900",070 987-99-41,zarubatereza@example.org
Чорновіл,Павло,,Чоловік,1945-04-24,Пілот,селище Жданівка,"вулиця Нахімова, буд. 9 кв. 9, Глухів, 37273",061 912 66 52,ielysavetakovpak@example.org
Лазаренко,Аркадій,,Чоловік,2001-04-04,Дантист,місто Чуднів,"площа Станційна 3-тя, буд. 9, Ромни, 56845",+380 35 459-52-48,yhabelko@example.com
Сагаль,Георгій,,Чоловік,1967-12-16,Медик,село Путивль,"парк Першотравневий 2-й, буд. 52, Лиман , 42205",592 89 53,aparasiuk@example.net
Лагода,Миколай,,Чоловік,1963-02-08,Астроном,селище Ржищів,"сквер Віри Холодної, буд. 3 кв. 8, Севастополь, 86138",042 464 13 45,blukash@example.com
Вишивана,Демʼян,,Чоловік,1984-12-13,Фольклорист,селище Верхівцеве,"сквер Килимовий, буд. 605, Оріхів, 94572",033 969-10-91,mamchurzynovii@example.net
Негода,Гаврило,,Чоловік,2004-01-05,Редактор,село Ходорів,"провулок Балківська, буд. 373, Мар'їнка, 80168",+380 06 096 86 83,lkabaliuk@example.org
Сірко,Аарон,,Чоловік,1994-12-18,Психолог,місто Кам'янка-Бузька,"шосе Армійська, буд. 83, Винники, 56069",+380 14 286-57-43,sdanylchuk@example.net
Заїка,Орхип,,Чоловік,1988-03-24,Піаніст,хутір Остер ,"парк Слов'янська, буд. 886 кв. 4, Галич, 02035",030 067-36-63,gchuiko@example.com
Гупало,Давид,,Чоловік,1950-02-28,Епідеміолог,селище Рахів,"парк Молоді, буд. 48, Тетіїв, 53242",+380 15 815 12 99,levko09@example.org
Лагода,Юстим,,Чоловік,1939-01-25,Композитор,місто Сторожинець,"вулиця Рівності, буд. 29 кв. 81, Київ, 73526",072 710-34-44,virashablii@example.net
Свистун,Демид,,Чоловік,1946-09-03,Бібліотекар,хутір Коростишів,"проспект Більшовицький, буд. 642, Довжанськ, 56307",094 367-29-31,tykhyimarusia@example.org
Фесенко,Дан,,Чоловік,1945-03-09,Соціолог,село Південне ,"набережна Новощіпний ряд, буд. 2, Вараш, 98205",+380 (11) 667-21-32,emazepa@example.net
Даньків,Єфрем,,Чоловік,1996-05-25,Економіст,селище Люботин,"проспект Пироговський, буд. 3, Бобринець, 99701",035 452 82 59,orestabramenko@example.org
Михайлюк,Юстим,,Чоловік,1938-01-09,Стоматолог,місто Новий Калинів,"шосе Станційна 2-га, буд. 723, Знам'янка, 62078",220 38 38,wzaruba@example.net
Дейнеко,Федір,,Чоловік,1986-03-19,Гірник,місто Хоростків,"шосе Супутників, буд. 94, Славутич, 12485",719 69 81,kolisnychenkozynovii@example.com
Малик,Герман,,Чоловік,1952-09-12,Золотар,село Славута,"шосе Привозна, буд. 326, Новий Калинів, 09926",082 204 93 70,qlahoda@example.net
Єрошенко,Мартин,,Чоловік,1964-01-31,Актор,місто Фастів,"вулиця Різницький, буд. 623, Путивль, 15573",372 75 10,illia39@example.com
Демиденко,Аркадій,,Чоловік,1980-02-23,Бібліотекар,селище Красногорівка,"площа Вапняний 2-й, буд. 511 кв. 1, Ромни, 16826",+380 62 934-25-80,zatamanchuk@example.net
